nTeams:
1
nProjects:
60
Project properties: (index, processing time, due date)
0	2	224
1	19	1436
2	39	599
3	59	1717
4	94	1872
5	27	211
6	97	734
7	38	659
8	69	1223
9	15	34
10	29	1928
11	47	613
12	7	55
13	43	1342
14	27	494
15	22	970
16	84	1576
17	95	980
18	29	1546
19	23	1400
20	4	804
21	2	329
22	2	99
23	96	23
24	37	567
25	39	1583
26	74	356
27	94	351
28	16	442
29	19	1529
30	1	1113
31	8	982
32	76	415
33	41	1111
34	77	1712
35	28	1088
36	1	1697
37	74	359
38	50	1967
39	53	1181
40	41	1070
41	42	533
42	30	1409
43	87	886
44	13	1872
45	13	1421
46	89	1700
47	77	994
48	7	1588
49	67	1066
50	68	1759
51	29	1776
52	3	1278
53	49	1019
54	5	574
55	75	2001
56	4	1781
57	8	2023
58	82	1115
59	88	848
